what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1424662778329
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1424662778331
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1424662778341
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1424662778360
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1424662778367
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1424662778368
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1424662778369
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1424662778370
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1424662778372
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1424662778380
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424662778385
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1424662778396
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1424662778400
os,sysinfo,,,"linux",1424662778402
arch,sysinfo,,,"x86",1424662778403
ws,sysinfo,,,"gtk",1424662778403
locale,sysinfo,,,"en_US",1424662778403
processors,sysinfo,,,"1",1424662778403
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1424662778403
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1424662778403
java.specification.name,sysinfo,,,"Java Platform API Specification",1424662778403
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424662778403
java.specification.version,sysinfo,,,"1.6",1424662778403
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1424662778403
java.version,sysinfo,,,"1.6.0_24",1424662778403
java.vm.info,sysinfo,,,"mixed mode, sharing",1424662778403
java.vm.name,sysinfo,,,"OpenJDK Client VM",1424662778403
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424662778403
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424662778403
java.vm.specification.version,sysinfo,,,"1.0",1424662778403
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1424662778403
java.vm.version,sysinfo,,,"20.0-b12",1424662778403
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1424662778892
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1424662778934
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1424662779214
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1424662782793
error,log,,,"Unhandled event loop exception",1424662783666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424662821043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424662918929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424662926357
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1424662940077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424662942831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424662944187
started,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201202111925,"org.eclipse.cdt.debug.gdbjtag.ui",1424662951614
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1424662951744
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1424662951821
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1424662951836
