what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1421957494002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957497831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957501771
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1421957501858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957503100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957507887
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1421957507986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957509750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957512938
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1421957516205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957518138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957520923
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1421957521009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957626387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957655410
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1421957662954
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421957670219
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1421957671510
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421957671595
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1421957674720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1421957768295
error,log,,,"Error in final launch sequence",1421957771945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957772082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957773888
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1421957774911
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1421957776477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957785236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957787230
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1421957787311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957789253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421957792491
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1421957794364
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1421957795226
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1421957796938
