what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1421944628954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944629674
error,log,,,"Error in final launch sequence",1421944629788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944634893
activated,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1421944637173
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1421944637224
closed,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1421944637224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944638154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944641549
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944644893
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944647940
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944648740
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944651175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944657123
error,log,,,"Unhandled event loop exception",1421944662407
error,log,,,"Error in final launch sequence",1421944662776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944673215
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944679088
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944680752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944690334
error,log,,,"Unhandled event loop exception",1421944691837
error,log,,,"Error in final launch sequence",1421944692422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944694233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944697331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944699570
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1421944714444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944719407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421944725751
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1421944726037
executed,command,,,"AUTOGEN:::org.eclipse.cdt.ui.editor.asm.AsmEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1421944731337
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1421944741894
activated,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1421944741942
